Clap, Swipe Down With Left, Swipe Down With Right, Swipe To Left, Swipe To Right, Swipe Up With Left, Swipe Up With Right, 
Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, 
Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, 
Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, 
Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, 
Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, 
Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, 
Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, 
Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, 
Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, 
Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, 
Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, 
Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, 
Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, 
Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, 
Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, 
0.424496791641444, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, 
0.424334219485876, Infinity, 0.436938680284127, Infinity, 0.246375630810045, Infinity, Infinity, 
0.420252745621569, 0.474667420004086, 0.437896592815768, 0.325587338227495, 0.241031390222948, 0.300463714604318, 0.330279509544057, 
0.4201452511811, 0.474607107009242, 0.438002441160988, 0.325721420839068, 0.241209386314383, 0.300556111887989, 0.330316235399351, 
0.420129591126784, 0.474323888509189, 0.438106718796007, 0.325852638380575, 0.241428665560017, 0.300623969951072, 0.330349278894145, 
0.420186327448329, 0.473922898610611, 0.438239394492486, 0.326006443792614, 0.241678669222767, 0.300682967987905, 0.330403885998449, 
0.420308488246729, 0.473571936482989, 0.438374009882825, 0.326168275333527, 0.241953878955907, 0.300764407590285, 0.330459816578157, 
0.420475794045684, 0.473312901961067, 0.438548122535727, 0.326350386915612, 0.242279697948723, 0.300863037833824, 0.330550098539704, 
0.420701276175082, 0.473135532531897, 0.438724736408582, 0.326532265283445, 0.242626803439748, 0.300975495418364, 0.330650323458593, 
0.420939909411113, 0.473026289251893, 0.438913366433792, 0.32673351731997, 0.243023418679412, 0.301116312194014, 0.330772999863031, 
0.421215074761007, 0.472973166583227, 0.439101938894248, 0.326922910529506, 0.24342102910601, 0.301291696586422, 0.330913543555611, 
0.421492836655909, 0.472839282801025, 0.439259723074517, 0.327100069285692, 0.243853698936248, 0.301454555185681, 0.331040777584836, 
0.421733675021479, 0.472777693226051, 0.43939999676094, 0.327217448021596, 0.24425500782092, 0.301615252221491, 0.33115654232143, 
0.421989263194979, 0.472742981615666, 0.439512831126996, 0.327310277549553, 0.244682473997668, 0.301793920731377, 0.331260818824235, 
0.422141034625321, 0.47278235210768, 0.439338740577938, 0.327287016840103, 0.245004514130606, 0.301921739252588, 0.331312617202102, 
0.422301611803105, 0.47285595941584, 0.439066690001615, 0.327316343369947, 0.245369786319353, 0.302112837352555, 0.331370858541496, 
0.422389078290083, 0.473002623506446, 0.438880614464818, 0.327317823781779, 0.245693591572824, 0.30228739099048, 0.331388112809497, 
0.422407638020264, 0.473176339920927, 0.438735013375397, 0.327270079677035, 0.246023747415481, 0.302467598905027, 0.331326233729958, 
0.422363346767033, 0.473367699645095, 0.438572759998993, 0.327248199011608, 0.246288812321536, 0.302614669542784, 0.331275476054395, 
0.422163996273069, 0.473600484329136, 0.437718859896194, 0.327174906086993, 0.246503460541596, 0.302695042734991, 0.330919806366108, 
0.422080729139593, 0.473792432625568, 0.436498970608995, 0.327244264560833, 0.246620929570857, 0.30277699066205, 0.330400004721212, 
0.422062225066535, 0.474149536989724, 0.435292305584824, 0.32742900136308, 0.246844944466001, 0.302977561519979, 0.329708289543611, 
0.422183877407577, 0.474533773994911, 0.434167231243016, 0.327737004223126, 0.247155421811727, 0.303293363712152, 0.328636317172562, 
0.421671117779971, 0.475079196474195, 0.433891423680779, 0.328058917582776, 0.247852758460103, 0.303946508757316, 0.32618089503672, 
0.420029869398156, 0.475707055776052, 0.43391318232369, 0.328229496806607, 0.249026029951441, 0.305065749765869, 0.322006585216337, 
0.41438678489042, 0.476570545435063, 0.434711190470047, 0.325429742198433, 0.250692270894387, 0.306626998316587, 0.315218081138272, 
0.404442753499268, 0.477639250265615, 0.435919584759751, 0.319150870781225, 0.252959699974967, 0.308791241063737, 0.306343078717263, 
0.389816461763702, 0.478897804343528, 0.43746765460029, 0.309490984535211, 0.255495299593052, 0.311218657516987, 0.295906773335072, 
0.372438573397059, 0.480013603627442, 0.437496323598447, 0.296016572880882, 0.258254737579754, 0.313843989317181, 0.285502411995888, 
0.353772940862504, 0.481041683928636, 0.434159468380815, 0.279570754354302, 0.260725208941031, 0.316268758605294, 0.275516452554329, 
0.335201964756865, 0.482173303468781, 0.429225213471471, 0.261073512028967, 0.26342841609831, 0.318972285365008, 0.267022533820365, 
0.320478909248261, 0.483346202930461, 0.423866023474704, 0.241828473794507, 0.266011628458126, 0.321571788603549, 0.261168736183681, 
